FECHA DE EMISIÓN,CÓDIGO,ESTADO,BODEGA,CENTRO DE COSTO,ÓRDENES DE COMPRA ASOCIADAS,PROVEEDOR - NOMBRE,PROVEEDOR - TIPO DE IDENTIFICACIÓN,PROVEEDOR - IDENTIFICACIÓN,PROVEEDOR - DIRECCIÓN,PROVEEDOR - TELÉFONO,PROVEEDOR - CIUDAD,VENCIMIENTO,ÍTEM - NOMBRE,ÍTEM - OBSERVACIONES,ÍTEM - REFERENCIA,ÍTEM - CANTIDAD,ÍTEM - PRECIO,ÍTEM - DESCUENTO (%),ÍTEM - IMPUESTO,ÍTEM - IMPUESTO (%),ÍTEM - IMPUESTO (VALOR),ÍTEM - TOTAL,SUBTOTAL - FACTURA,TOTAL - FACTURA,RETENCIÓN - NOMBRE,RETENCIÓN - BASE,RETENCIÓN - VALOR,ESTADO DE RETENCIÓN,RETENCIÓN - NOMBRE,RETENCIÓN - BASE,RETENCIÓN - VALOR,ESTADO DE RETENCIÓN
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Alpha 60 Ml,,2370016,"24,00","210000,00","30,00",IVA 19%,"19,00","670320,00","4198320,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Alpha Tester 60Ml,,2370017,"2,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Apus 60Ml,,2370020,"24,00","210000,00","30,00",IVA 19%,"19,00","670320,00","4198320,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Apus Tester 60Ml,,2370022,"2,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Canes 60 Ml,,2000003,"12,00","210000,00","30,00",IVA 19%,"19,00","335160,00","2099160,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Canes Tester 60 Ml,,2000004,"1,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Octans 60 Ml,,2000005,"24,00","210000,00","30,00",IVA 19%,"19,00","670320,00","4198320,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Octans Tester 60 Ml,,2000006,"2,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Overdose 60 Ml,,2370025,"24,00","210000,00","30,00",IVA 19%,"19,00","670320,00","4198320,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Overdose Tester 60Ml,,2370026,"2,00","10000,00","10,00",IVA 19%,"19,00","3420,00","21420,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Taurus 60 Ml,,2000009,"12,00","210000,00","30,00",IVA 19%,"19,00","335160,00","2099160,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ahli Taurus Tester 60 Ml,,2000010,"1,00","12,00","30,00",IVA 19%,"19,00","1,60","10,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ilmin Il Kakuno 30 Mil,,2370295,"12,00","235294,00","5,00",IVA 19%,"19,00","509646,80","3191998,40","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ilmin Il Kakuno TESTER,,2370309,"1,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ilmin Il Sexuel 30Ml,,2370419,"24,00","235294,00","5,00",IVA 19%,"19,00","1019293,61","6383996,81","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,EM457,Pagado,CEDI Medellín,Tienda Medellin,,ILMIN S.A.S,Número de identificación tributaria,900945532,,,,1/8/2022,Ilmin Il Sexuel 30Ml Tester,,2370420,"4,00","10000,00","100,00",IVA 19%,"19,00","0,00","0,00","25705063,20","30589025,21",Compras (2.5%) ,25705063.2,"6,426,265,800",APLICADA,,,,
29/07/2022,FMST21290,Pagado,CEDI Medellín,Tienda Medellin,,MONASTERY COUTURE S.A.S,Número de identificación tributaria,901259856,,,,1/8/2022,OLIMPO T-SHIRT MEN BLACK XL 1000712142,,8901302,"5,00","94537,82","0,00",IVA 19%,"19,00","89810,93","562500,03","37818908,42","45004501,04",Compras (2.5%) ,37831513.46,"9,457,878,400",APLICADA,,,,
29/07/2022,FMST21290,Pagado,CEDI Medellín,Tienda Medellin,,MONASTERY COUTURE S.A.S,Número de identificación tributaria,901259856,,,,1/8/2022,OLIMPO T-SHIRT MEN BLACK L 1000712140,,8901303,"20,00","94537,82","0,00",IVA 19%,"19,00","359243,72","2250000,12","37818908,42","45004501,04",Compras (2.5%) ,37831513.46,"9,457,878,400",APLICADA,,,,
29/07/2022,FMST21290,Pagado,CEDI Medellín,Tienda Medellin,,MONASTERY COUTURE S.A.S,Número de identificación tributaria,901259856,,,,1/8/2022,OLIMPO T-SHIRT MEN BLACK M 1000712138,,8901305,"20,00","94537,82","0,00",IVA 19%,"19,00","359243,72","2250000,12","37818908,42","45004501,04",Compras (2.5%) ,37831513.46,"9,457,878,400",APLICADA,,,,
